date,IP,City,ASNumber,MeanThroughputMbps,MinRTT,LossRate
2020-04-25,2001:16a2:25d:fa00:3c8b:fcd9:4717:2ebf,Riyadh,1299,7.930264131279677,109.0,
2020-03-16,46.152.45.255,Riyadh,1299,26.539851023509694,88.0,
2020-05-30,188.248.169.3,Riyadh,1299,1.3334117226516071,159.0,
2019-11-25,79.170.122.144,Riyadh,1299,40.17643710130962,115.0,
2020-07-09,2.88.49.227,Riyadh,1299,2.6285540976945647,102.0,
2019-11-20,79.170.122.159,Riyadh,1299,39.8653667081908,113.0,
2019-11-25,2.88.204.239,Riyadh,1299,48.062926464732925,109.0,
2020-03-19,2001:16a2:16cd:5000:e946:83ac:d210:6462,Riyadh,1299,4.108053675229091,257.0,
2020-03-19,5.132.218.245,Riyadh,1299,0.2933238382435854,135.0,
2019-12-24,95.178.16.84,Riyadh,1299,61.024686660399446,114.0,
2020-07-27,213.166.150.244,Riyadh,1299,2.255083891103207,109.0,
2020-04-02,142.247.5.91,Riyadh,1299,67.59375949472248,170.0,
2020-01-21,65.196.101.80,Riyadh,1299,9.413928553618586,3.0,
2020-07-01,46.153.117.92,Riyadh,1299,16.070022527694853,209.0,
2019-12-01,79.170.121.71,Riyadh,1299,12.06843137922906,117.0,
2020-06-14,46.152.129.41,Riyadh,1299,37.357774236405405,189.0,
2020-01-21,65.196.101.80,Riyadh,1299,9.39764739087015,4.0,
2020-02-01,213.166.140.249,Riyadh,1299,14.685705492119135,82.0,
2020-08-11,2001:16a2:f92:2600:9f4:653b:d10:bbd7,Riyadh,1299,102.2378924257419,92.0,
2020-04-12,51.36.60.91,Riyadh,1299,6.4460098175417935,123.0,
2019-11-15,79.170.121.133,Riyadh,1299,75.92538961704977,104.0,
2020-03-27,142.247.6.71,Riyadh,1299,8.937146059066269,171.0,
2020-01-30,65.196.101.80,Riyadh,1299,79.94898331316524,6.0,
2020-08-03,46.152.198.9,Riyadh,1299,3.129255535375424,87.0,
2020-05-20,51.36.41.12,Riyadh,1299,1.575170104192296,216.0,
2020-01-28,65.196.101.84,Riyadh,1299,14.30982188276498,3.0,
2019-12-18,95.178.21.168,Riyadh,1299,0.0563354680698198,233.0,
2020-01-01,77.223.248.76,Riyadh,1299,28.79667319932492,151.0,
2020-01-23,65.196.101.81,Riyadh,1299,9.38940168574394,4.0,
2020-01-23,65.196.101.80,Riyadh,1299,7.180295373679416,4.0,
2020-05-15,2001:16a2:1635:7700:885f:c5bc:e6c1:4412,Riyadh,1299,43.71470537594222,163.0,
2020-06-23,46.152.50.65,Riyadh,1299,26.596012064290008,192.0,
2020-06-23,78.95.103.162,Riyadh,1299,0.928353936042264,241.0,
2020-02-11,37.107.111.143,Riyadh,1299,0.9685220537932244,104.0,
2020-01-06,77.223.250.100,Riyadh,1299,26.971503646710527,124.0,
2020-01-06,77.223.250.100,Riyadh,1299,41.02890663387724,140.0,
2020-01-07,95.178.16.86,Riyadh,1299,6.893382005208792,117.0,
2022-02-18,37.217.149.75,Riyadh,1299,1.4163613874075554,273.0,0.0
2022-02-17,37.42.176.164,Riyadh,1299,1.3229902410933527,314.0,0.0
2022-02-17,37.43.172.142,Riyadh,1299,1.8194432580464923,222.0,0.00884847835915
2021-12-30,128.90.61.117,Riyadh,1299,15.59723176279796,237.958,0.0919971539796699
2022-01-05,2a00:5400:e050:549a:518a:65bf:6b0d:9566,Riyadh,1299,97.56001608261512,140.597,0.0872934446293402
2022-02-16,5.62.61.127,Riyadh,1299,36.30884644930087,143.933,3.7017686057539834e-05
2022-01-07,5.62.63.105,Riyadh,1299,8.703497277535487,208.538,0.0
2022-02-20,51.253.127.194,Riyadh,1299,14.969904707657518,219.696,0.004770641665908
2021-12-03,5.163.240.120,Riyadh,1299,58.13947562993346,185.279,0.0348740442979186
2021-12-17,128.90.61.39,Riyadh,1299,13.112053193466869,222.28,6.995454549597545e-05
